"feature","ACH_000973","ACH_000070","ACH_000411","ACH_001306","ACH_000137","ACH_000697","ACH_000557","ACH_000838","ACH_000802","ACH_000228","ACH_000402","ACH_000832","ACH_000518","ACH_000856","ACH_000516","ACH_000264","ACH_000713","ACH_000329","ACH_000120","ACH_000458","ACH_000920","ACH_000253","ACH_000350","ACH_000256","ACH_000278","ACH_000608","ACH_000055","ACH_000095","ACH_000243","ACH_000211","ACH_000233","ACH_000258","ACH_000435","ACH_000330","ACH_000308","ACH_000936","ACH_000706","ACH_000295","ACH_000585","ACH_000906","ACH_000487","ACH_000633","ACH_000082","ACH_000098","ACH_000738","ACH_000047","ACH_000746","ACH_000485","ACH_000374","ACH_000859","ACH_000150","ACH_000840","ACH_000467","ACH_000012","ACH_000454","ACH_000190","ACH_000954","ACH_000941","ACH_000996","ACH_000831","ACH_000984","ACH_000542","ACH_000847","ACH_000393","ACH_000014","ACH_000799","ACH_000274","ACH_000054","ACH_000986","ACH_000552","ACH_000926","ACH_000118","ACH_000882","ACH_000915","ACH_000569","ACH_000476","ACH_000734","ACH_000324","ACH_000237","ACH_000132","ACH_000584","ACH_000928","ACH_000993","ACH_000711","ACH_000653","ACH_000404","ACH_000507","ACH_000167","ACH_000259","ACH_000773","ACH_000293","ACH_000969","ACH_000862","ACH_000250","ACH_000714","ACH_000576","ACH_000541","ACH_000622","ACH_000858","ACH_000265","ACH_000631","ACH_000524","ACH_000855","ACH_000809","ACH_000865","ACH_000824","ACH_000627","ACH_000471","ACH_000769","ACH_000819","ACH_000252","ACH_000390","ACH_000787","ACH_000477","ACH_000796","ACH_000621","ACH_000884","ACH_000910","ACH_000935","ACH_000881","ACH_000601","ACH_000362","ACH_000851","ACH_000335","ACH_000045","ACH_000938","ACH_000294","ACH_000510","ACH_000921","ACH_000589","ACH_000869","ACH_000766","ACH_000448","ACH_000021","ACH_000747","ACH_000781","ACH_000521","ACH_000841","ACH_000311","ACH_000785","ACH_000481","ACH_000924","ACH_000092","ACH_000800","ACH_000463","ACH_000395","ACH_000403","ACH_000427","ACH_000911","ACH_000116","ACH_000336","ACH_000013","ACH_000159","ACH_001151","ACH_000947","ACH_000663","ACH_000022","ACH_000606","ACH_000732","ACH_000735","ACH_000937","ACH_000307","ACH_000320","ACH_000169","ACH_000041","ACH_000960","ACH_000791","ACH_000261","ACH_000505","ACH_000943","ACH_000473","ACH_000242","ACH_000410","ACH_000839","ACH_000782","ACH_000376","ACH_000099","ACH_000748","ACH_000017","ACH_000361","ACH_000822","ACH_000665","ACH_000363","ACH_000260","ACH_000366","ACH_000811","ACH_000974","ACH_000932","ACH_000549","ACH_000302","ACH_000483","ACH_000623","ACH_000907","ACH_000517","ACH_000500","ACH_000683","ACH_000537","ACH_000460","ACH_000338","ACH_000365","ACH_000953","ACH_000677","ACH_000820","ACH_000651","ACH_000018","ACH_000571","ACH_000720","ACH_000318","ACH_000488","ACH_000917","ACH_000408","ACH_000452","ACH_000397","ACH_000387","ACH_000146","ACH_000885","ACH_000459","ACH_000317","ACH_000495","ACH_000364","ACH_000579","ACH_000522","ACH_000545","ACH_000484","ACH_000827","ACH_000332","ACH_000469","ACH_000570"
"C36.3.PC","5.912538","5.961886","5.883976","5.729486","5.858414","6.072435","5.954131","6.285218","5.683737","5.830285","6.145716","5.656975","5.753304","5.762862","5.822896","5.904148","5.836051","5.983322","5.727945","6.125919","5.806251","6.179125","5.818645","5.98063","5.848","5.722705","5.243705","6.034235","5.962618","5.750832","5.955347","5.776517","5.872522","5.782621","5.858489","6.058906","5.843644","6.103431","5.843432","5.803614","6.339296","5.788642","5.818305","5.872436","6.116051","5.675175","5.835648","5.905703","5.761339","5.836512","5.937107","5.72855","5.860691","5.44163","5.733525","6.052437","5.720046","5.728854","5.65851","5.897535","6.248451","5.988262","5.368759","5.793573","5.869676","5.92244","5.760711","5.696047","6.136558","5.497489","6.016462","5.788342","5.694475","5.873499","6.056709","5.937341","6.008599","5.516449","5.998434","5.859234","5.918757","5.88838","5.89992","5.727746","6.069271","5.919342","5.792063","5.962255","5.899357","6.127389","5.755493","5.791016","5.977097","5.768002","5.658458","6.111036","5.895445","6.08056","5.918119","5.656711","6.225093","6.003613","5.835043","5.596374","5.848215","5.406314","5.762538","6.035645","5.896755","5.791803","5.809994","5.90424","5.665483","5.755178","5.803928","5.77871","5.915676","5.846636","5.66115","6.137228","5.866477","5.824294","5.927658","5.770679","5.828155","5.778739","5.872579","5.884069","5.918851","5.850143","5.941419","5.827837","5.784653","5.888813","5.990102","5.925078","5.942739","5.806804","5.883976","5.906503","5.941497","5.90094","5.897904","5.786561","5.781387","5.832176","6.075968","6.031015","5.817228","5.902134","6.014405","5.64944","5.743841","5.997491","5.825163","6.005187","5.506477","6.01226","5.89292","5.827142","5.798413","5.862367","5.765874","5.640041","5.743737","5.687114","5.879095","5.779787","6.044334","5.864967","5.831277","5.597153","5.638178","5.812033","5.77334","5.903579","5.575192","5.861571","5.675431","5.67383","5.974952","6.011594","6.343783","5.523771","5.701868","5.64773","5.910972","6.166495","5.866518","5.785672","5.955037","5.787619","5.988812","6.186669","5.884208","6.039429","6.169303","5.731464","5.858283","6.167069","6.168074","5.787867","5.769632","5.548294","5.869292","5.752491","6.191976","5.839795","6.277678","5.753912","5.746409","5.965619","5.899863","6.083164","6.010016","5.852519","6.244194","6.002675","5.719301","5.833979","5.843364","6.098954","5.902176","5.857035","5.941969","5.85353","5.924265","5.746938"
"C36.2.PC","5.938556","5.878536","5.975762","5.68762","5.611977","6.139309","5.782548","6.165734","5.839869","5.762762","6.008077","5.899722","5.802899","5.616363","5.803961","6.039489","5.896465","5.785636","5.798328","5.818349","5.936949","6.305667","5.766337","6.086654","5.758578","5.826623","5.402044","5.90044","5.96467","5.947195","5.986215","5.981749","5.89559","5.66343","5.939102","5.743536","5.955005","6.03941","5.58443","5.862462","5.836604","5.566513","5.765345","5.847051","5.934481","5.656472","5.921869","5.813799","5.581089","5.975153","6.019244","5.454682","6.106986","5.633422","6.062274","5.963103","6.004897","5.749025","5.653745","5.71542","5.772579","5.909263","5.613242","5.867129","5.843043","5.835069","5.760445","5.972165","5.900616","5.746416","6.089536","5.901623","5.878662","6.05237","5.876464","5.953461","5.824072","5.536578","5.995098","5.677786","5.781739","5.7798","5.75096","5.961248","5.891296","5.799835","5.670712","5.943456","5.969376","5.925072","5.840086","5.845631","5.990974","5.760994","5.44544","5.938267","6.035781","6.063934","5.95877","5.911141","5.859471","5.918022","6.064413","5.954896","5.888473","6.027712","5.907705","6.136781","5.761118","5.612351","5.993368","5.995979","5.695808","5.72795","5.849537","5.799078","5.87412","6.013165","5.66818","6.154991","5.968713","6.027531","6.153856","5.887455","5.701703","5.991363","5.935365","6.011121","5.762426","5.901082","6.002713","5.91008","5.986573","5.932664","6.033278","5.883976","5.86965","5.909209","5.973563","6.052515","6.007778","5.828007","5.978031","5.407967","5.929517","5.83391","5.742656","6.050566","6.021805","5.777828","5.890237","5.597015","5.83232","6.0328","5.672061","5.747272","5.908715","5.992117","5.760267","5.82239","5.981284","5.938949","5.963937","5.924006","5.884218","5.926304","5.719432","5.7269","5.817762","5.987945","5.994545","6.003974","5.756293","6.004956","5.954949","6.030721","5.807788","6.005421","5.515951","5.828012","5.869928","5.82359","5.864186","5.483696","5.915018","5.692988","5.743122","5.895248","6.224296","5.827319","5.83631","5.958235","5.781265","5.707561","5.866001","6.061728","6.05466","5.706263","5.844451","5.962639","5.709597","5.676291","6.087619","5.886572","5.979865","5.943284","6.082272","6.036366","6.019375","5.916562","6.035375","5.77961","5.659301","5.998728","5.814876","5.635889","6.071907","5.874265","5.823595","5.797261","5.930595","6.098803","5.921326","5.765635","5.92284","6.067912","5.771373","5.891515"
"C36.1.PC","5.75101","5.991742","5.663337","5.972004","5.74783","5.978873","5.668332","6.054366","5.214374","5.976688","6.170776","5.853916","6.003778","5.645842","5.82034","5.775624","5.834051","5.956838","5.93957","5.884655","6.246276","6.278753","5.917713","5.702421","5.947952","5.995438","5.434435","6.141476","6.156326","5.925556","5.807784","6.187911","5.843613","5.668653","5.562686","5.776009","6.080681","5.980938","5.784308","6.097168","5.887153","5.43177","5.575023","5.900633","5.812893","5.615254","6.079165","5.553073","5.694557","6.065359","5.953799","5.740937","5.974914","5.861726","5.886333","5.900973","5.862589","5.819148","5.645454","5.757657","6.154961","5.986989","4.94725","5.795359","5.661203","5.773943","5.741638","5.955349","6.012863","5.953184","5.985924","5.988198","5.521577","5.921827","5.780404","5.881719","5.802903","5.803178","5.85694","5.721727","5.492614","5.786734","5.651009","5.922831","6.142056","5.628687","5.54397","5.984824","5.454331","6.023481","5.883976","5.921226","5.883976","5.799037","5.559535","6.217675","5.890246","6.072687","6.030635","5.779907","5.743736","5.839564","6.015285","5.975427","5.964557","5.882757","5.955518","5.957425","5.612654","5.60864","6.029279","6.083122","5.814333","5.748389","6.179948","6.035482","6.03035","6.038957","5.766102","5.939253","5.518126","5.705544","6.122355","5.59645","5.467101","6.273725","5.902749","5.814776","5.799922","5.800194","5.9352","6.004416","5.594185","5.895506","5.750231","5.980508","5.916149","6.048138","5.890756","5.952421","6.141148","5.716056","5.676459","5.659094","5.725976","5.751923","5.96658","5.984787","6.146128","5.165289","5.528564","5.567183","6.184334","6.187771","5.896108","5.622693","5.888746","5.490846","5.963576","5.936573","5.782848","5.974792","6.221097","5.82313","5.482763","6.138552","5.750759","5.780392","5.788826","6.1096","5.655298","5.463613","5.750512","6.145017","6.178434","5.856961","5.9151","5.922235","5.750518","6.090377","6.002736","6.02571","6.05375","5.495759","5.77064","6.094146","5.754827","5.704284","5.888549","5.824398","5.633075","5.960409","5.906698","5.804229","5.775574","5.96609","5.540331","5.876129","6.130177","5.96437","5.897991","5.589007","5.958231","5.695028","5.790476","5.982832","5.807605","5.63056","5.909374","5.736091","6.003983","5.872541","5.738164","6.023688","5.780514","5.723102","6.069296","5.451052","5.842842","5.574368","5.756582","6.149589","5.658474","5.718111","5.773243","6.173526","5.827977","5.957443"
"C38.6.PC","5.375705","6.040851","5.627479","5.813391","5.905493","5.428901","6.13196","6.195013","5.3683","5.801855","6.079586","5.277302","5.537068","5.845082","6.122671","5.836955","6.062124","5.966561","6.077902","5.893091","5.644482","5.874016","6.092346","5.918107","5.938704","5.924348","5.793121","6.38808","5.835609","5.876227","5.960317","6.033841","5.832988","5.778572","6.084364","5.98449","5.689288","6.16236","5.964466","5.608972","6.333549","5.934766","6.154017","5.946103","6.024134","5.853803","5.436098","5.868221","5.747603","5.615875","5.914812","5.96607","5.517227","5.442211","5.889948","5.872046","5.529482","5.45111","5.677782","6.182782","6.277878","6.127999","5.476619","5.860961","5.660817","6.149586","5.981175","5.664957","6.179508","5.84076","5.664246","5.60981","5.216881","5.858736","6.034073","5.965388","5.928543","5.793968","6.100704","5.941338","6.017257","5.972643","5.82222","5.576577","6.245049","5.737416","5.881189","6.066957","5.79992","6.192294","6.2673","5.393615","6.258902","5.784883","5.638127","6.316143","5.84775","5.885954","5.614123","5.631248","6.145422","6.212979","5.48179","5.407669","5.523234","5.169573","5.581094","5.904876","5.911934","5.883976","5.711507","6.074862","5.642123","6.004946","5.527033","5.884958","6.001622","5.368577","5.590658","6.100672","5.660753","5.812287","5.642464","5.700912","5.995894","6.086052","5.986186","5.611961","6.052462","5.687643","5.716055","5.524695","5.658911","6.157746","6.017309","5.876602","5.976459","5.778078","5.542089","5.806195","5.476334","6.321693","5.906035","5.956885","5.482418","5.660144","5.96711","5.765432","5.538699","5.471543","6.242399","5.886315","6.04548","6.03541","6.063259","5.82336","5.377083","5.420583","5.843847","5.701195","6.33579","5.667564","5.741707","5.393363","6.184862","5.63862","5.987124","6.120666","5.885471","5.744135","5.278668","5.45731","5.947919","5.667622","6.086744","5.605557","5.755362","5.757129","5.438917","5.745908","6.051056","6.030731","6.23348","5.749055","5.910667","5.756804","6.242163","6.131904","5.709162","5.896079","6.172658","6.352689","6.131699","6.040507","5.607585","5.895014","6.523899","5.968553","5.905773","6.248684","6.121356","5.957456","5.75249","5.437687","5.572986","5.811366","6.21553","5.758994","5.468844","5.620711","5.557903","5.893297","6.164425","5.897428","6.308352","6.060798","6.008049","6.201294","5.80433","5.908961","5.861477","6.011628","5.740113","5.786426","5.926067","5.494342","6.105304","5.789424"
"C38.5.PC","5.566299","5.896046","5.707484","5.875957","5.772818","5.617238","6.053343","6.459263","5.460191","5.861936","6.01493","5.450052","5.694109","5.982077","5.998451","5.914263","5.871324","6.109463","5.965178","5.900349","5.473445","5.833396","5.964362","5.865718","5.935198","5.743633","5.758386","6.331491","5.732478","5.660436","5.948458","5.826199","5.881907","5.905439","6.14531","5.741261","5.67502","6.241057","5.864368","5.654841","6.398317","5.755588","5.977505","5.881846","6.036218","5.650445","5.519922","5.719576","5.917399","5.724078","5.835595","5.879028","5.495706","5.29357","5.800633","5.883976","5.569339","5.319047","5.681107","5.883976","6.323894","6.118866","5.350007","5.906503","5.607521","6.080218","6.113307","5.640994","6.200951","5.627911","5.652385","5.70806","5.32596","5.799805","5.839478","5.857913","5.853097","5.627466","6.034696","6.011089","6.132184","6.005718","5.855871","5.649568","6.182293","5.795807","5.917151","6.085842","5.807101","6.424441","6.163298","5.441773","6.149967","5.769541","5.930009","6.517163","5.904438","5.946985","5.881982","5.690298","6.228","6.106637","5.664526","5.448942","5.515257","5.38161","5.696881","6.056081","5.912986","5.865072","5.735806","6.024192","5.543558","5.904854","5.770242","5.796292","5.982204","5.399895","5.675574","6.046377","5.650096","5.739311","5.726159","5.678323","5.995102","5.774376","5.883976","5.771686","6.04681","5.753796","5.900186","5.679418","5.53661","6.117399","6.060641","5.721067","5.987581","5.838448","5.702536","5.772143","5.49211","6.254687","5.960836","6.146253","5.64105","5.723376","6.065491","5.633442","5.764249","5.794323","6.252217","5.979934","5.92387","6.040252","5.995122","5.956908","5.508386","5.702902","5.940309","5.757181","6.406036","5.746739","5.694518","5.459538","6.322396","5.482758","6.082204","5.908412","5.783946","5.663893","5.443793","5.375366","5.848256","5.722214","6.074493","5.695143","5.754294","5.914821","5.651433","5.602672","6.104682","6.042562","6.8655","5.902988","5.956113","5.612993","6.162355","6.190142","5.38068","5.860308","6.144521","6.199485","6.167677","6.213376","5.746613","5.809355","6.345496","5.776726","5.904226","6.152466","6.239384","5.975716","5.698694","5.469445","5.516128","5.743852","6.113459","5.866559","5.784667","5.804729","5.614035","5.947746","5.973546","5.865989","6.018673","5.956623","6.198548","6.229824","5.773113","5.719977","5.866899","6.02203","5.70738","5.844525","5.952223","5.653963","6.067744","5.72149"
"C38.4.PC","5.653624","5.954316","5.881867","5.869469","5.794202","6.066468","6.053459","6.283057","5.671564","5.949221","5.964215","5.641463","5.770106","5.990519","5.911317","5.852868","5.740868","5.996713","5.733923","5.978809","5.707087","5.963561","5.804294","5.840372","5.885558","5.785771","5.555499","6.168654","5.912237","5.773992","5.93884","5.753958","5.886304","5.829162","6.019909","5.595697","5.801352","6.136282","5.789915","5.797362","6.244048","5.868819","5.904316","5.860315","5.968902","5.487578","5.656005","5.709363","5.850174","5.782534","5.780092","5.808381","5.817451","5.488593","6.082293","5.745043","5.787848","5.444868","5.632295","5.677603","6.157925","5.984407","5.443824","5.871476","5.653326","5.961066","5.900525","5.677768","6.215172","5.491737","5.795062","5.809054","5.557714","5.845967","5.841323","5.873684","5.966907","5.567308","5.925356","5.905188","5.869416","5.898051","5.637935","5.819059","6.273066","5.768006","5.755357","6.096889","5.873838","6.390076","5.977104","5.635073","5.900803","5.724367","5.851915","6.52948","5.994406","6.0907","5.894313","5.755412","6.095993","5.889084","5.785521","5.672359","5.687407","5.778127","5.856291","6.096005","5.81498","5.829229","5.784324","5.913386","5.522154","5.644551","5.882099","5.802726","5.981708","5.671082","5.638647","6.05609","5.923967","5.888675","5.862338","5.732073","5.826619","5.916578","5.842384","5.788946","5.976457","5.835021","5.877974","5.758907","5.708538","6.062873","5.976179","5.733704","5.980466","5.828576","5.687508","5.863902","5.884776","6.008007","5.978045","6.122358","5.734122","5.760748","5.980383","5.86011","5.754242","5.879782","6.072735","5.836881","5.815026","6.037022","5.925737","5.773507","5.658935","5.721151","5.929375","5.765691","6.339967","5.794475","5.732465","5.658593","6.212874","5.715735","5.862629","5.777288","5.693079","5.812425","5.680309","5.736761","5.652755","5.800794","6.088465","5.842335","5.707977","5.914277","5.573207","5.703364","6.0789","5.828187","6.521534","5.762654","6.089901","5.497612","5.967537","6.205436","5.948943","5.6742","5.939837","6.223218","6.052009","6.076776","5.7603","5.840276","6.12956","5.661891","5.735723","6.066609","6.151131","5.765138","5.7549","5.587044","5.727618","5.707919","6.194014","5.952082","5.897266","5.860771","5.701613","5.923284","5.965194","5.967519","5.892798","5.809626","6.216307","6.098964","5.740221","5.715887","5.779068","5.954227","5.77576","5.762393","5.845527","5.78187","5.912505","5.71257"
"C38.2.PC","6.268168","6.006075","6.00028","5.72112","5.612188","6.282863","5.639237","6.291294","5.83797","5.782127","6.511686","6.02945","5.898302","5.496806","5.76585","6.025066","6.272505","5.585615","6.147961","5.358967","6.038273","6.111534","6.052564","5.805426","5.698108","5.764922","5.383084","5.577045","6.062653","6.170867","5.740612","5.794412","5.959296","5.636403","5.646275","5.792002","5.826379","6.156756","5.620831","5.916686","6.268391","5.532411","5.786359","5.912515","6.214542","5.562819","5.664316","5.668389","5.714161","6.307237","6.183613","5.541357","5.902355","5.904464","6.16925","6.124413","6.013896","6.136755","5.683291","6.036722","5.790324","5.47082","5.10871","5.826116","5.768055","5.706642","5.820348","6.005769","5.9097","5.653357","5.751069","5.875891","5.842557","6.040821","6.165672","6.108612","5.865645","6.002919","6.040598","5.604737","5.68388","5.928311","5.98261","6.088737","6.097263","5.740973","5.611474","6.12783","6.062133","5.855371","6.033915","5.811064","6.284069","6.182428","5.384806","6.48921","6.326866","6.076052","6.085219","6.115676","5.715165","5.716908","6.35542","6.133174","5.932791","6.144252","6.152242","6.274709","5.813217","5.459864","6.019382","6.26143","5.70932","5.781072","6.010725","5.826734","5.868656","5.782118","5.427969","6.2215","5.818082","5.59085","6.321229","5.792669","5.450017","6.02977","5.970549","6.235836","5.814856","5.832429","5.839052","6.031814","6.042593","6.026496","6.075117","5.920649","5.904905","5.899056","5.7573","6.19381","6.144207","5.925454","5.953489","5.456214","5.950648","5.995952","5.854455","5.633871","6.172043","5.449708","5.354548","5.416168","6.43818","6.053991","5.58507","5.663319","6.156353","5.90603","5.912371","5.933786","6.306903","5.881327","5.862881","5.904942","4.855028","5.987998","5.573918","5.68858","5.6984","5.759828","6.158322","6.21009","5.785201","6.198682","5.990006","5.965829","5.555065","6.045038","5.242973","5.943835","5.53177","5.431175","5.9258","5.283862","5.820367","6.322859","5.413151","5.303739","6.238775","5.897146","5.475201","6.094239","5.743824","5.547332","6.026587","5.876838","5.963781","5.777965","6.179015","5.947426","5.39795","5.582796","6.208201","6.002759","6.005373","6.1102","6.099665","5.676348","6.014055","5.565948","6.198018","5.590641","5.786166","5.986604","5.641697","5.770318","5.896474","5.522806","5.731383","5.784434","5.969105","6.123371","6.115894","6.05757","5.805577","6.174655","5.693823","5.737561"
"C40.6.PC","5.772714","5.934358","6.026435","5.932714","5.72272","6.01201","6.00023","6.199102","5.464429","5.829075","6.134101","5.396498","5.769091","5.899903","6.122899","5.310185","5.859651","6.083595","5.871429","5.82336","5.88889","5.615644","5.760056","5.961458","5.921269","5.656054","5.707213","6.630905","5.80301","6.035657","5.741467","5.555772","5.616649","5.954795","5.882923","5.617339","5.915649","6.298754","6.004074","5.79366","6.144915","6.135492","5.743525","5.65268","5.651004","5.437466","5.863418","5.933392","6.008604","5.866241","5.727946","6.020029","5.624329","5.738072","5.850544","5.585128","5.582913","5.304444","5.680375","5.798134","5.903723","5.86012","5.806345","6.048307","5.140761","5.598496","5.9201","5.664729","6.269351","5.509273","5.280753","5.894064","4.484626","5.604759","5.750515","5.932509","5.645482","5.715427","5.906631","5.715097","5.738567","5.843466","5.678784","5.759362","6.425985","6.055908","5.784417","5.880913","5.947158","6.244185","6.100437","5.752753","6.065405","5.838578","6.005112","6.277746","5.881201","6.178004","5.890034","5.573547","6.090489","5.838843","5.4437","5.172032","5.674344","5.383672","5.636175","6.250629","5.566166","5.892462","5.686677","6.103275","5.575295","6.064754","5.977868","5.781779","5.987732","5.551571","5.598048","6.186245","5.443697","5.877638","5.583093","5.652719","5.814596","5.764723","5.757648","5.707098","5.803423","5.798697","5.720043","5.722098","5.143897","6.083313","5.901356","5.50997","5.690951","5.908848","5.466413","5.941186","5.631865","6.043307","5.88666","6.175284","5.666834","5.654235","5.836105","5.881908","5.47872","6.111817","5.754109","5.863631","5.927073","6.159666","6.331243","5.727899","5.780615","5.952473","5.791143","5.639634","6.28897","5.696498","5.735139","5.436251","6.329007","5.80893","5.969068","5.546256","5.851936","5.692625","5.435117","5.499732","5.629991","5.617361","5.989359","5.798125","5.959341","5.895194","5.784395","5.846401","6.079838","5.926146","6.351428","5.664098","6.134361","5.620423","5.879287","6.121452","5.994227","5.966438","5.782548","6.106783","6.208391","5.883976","5.760139","5.698171","5.984263","5.701587","5.87263","5.946835","6.093238","5.457274","5.434944","5.394942","5.61834","5.562892","5.78046","5.890966","5.815853","5.861458","5.367301","5.946349","5.95222","5.802604","5.964259","5.98712","5.906386","5.727897","5.732193","5.717548","5.563221","5.714612","5.576208","5.936657","5.790606","5.719607","5.862272","5.83186"
"C14.0.SM","5.964839","5.75381","6.08129","5.781119","5.953757","5.801266","5.882832","5.595367","5.317648","5.863599","5.911313","5.812037","5.91116","5.744157","6.011683","5.911953","6.13585","5.793611","6.063149","5.736566","5.935471","6.075135","5.747903","5.822941","5.846434","6.082827","5.702262","5.883976","5.905268","5.987473","5.862163","5.986886","5.829645","5.707266","5.702677","5.807325","5.870696","5.636434","5.807978","5.987788","5.937742","5.676655","5.898146","5.903728","5.918596","5.648307","5.921462","5.781776","5.933045","5.867766","5.736743","5.51313","6.025499","5.892953","5.964647","6.019528","5.966952","5.96856","6.140949","5.967948","5.910752","5.972465","6.069357","5.894185","5.765633","5.84666","5.875432","5.947716","5.896721","5.872655","6.110456","5.877754","6.016629","5.965476","5.945451","6.068871","5.938953","5.927813","5.942718","5.80793","5.984993","5.87561","5.991029","5.899438","5.862444","5.904038","5.778101","5.993151","5.476705","5.908951","6.100377","5.796046","6.131242","5.841235","5.534601","5.950556","5.771827","6.065906","5.98159","5.876012","5.822953","5.880551","5.915013","5.977388","6.038316","5.803041","5.821695","5.883976","5.712557","5.596458","5.904657","5.824033","5.788202","5.920186","6.096114","5.710951","5.928983","5.763443","6.015498","5.772838","5.596145","5.392984","5.958373","5.599511","5.701475","6.036815","5.75354","5.995507","5.696233","5.780711","6.038646","5.822614","5.722308","6.06358","6.021148","5.949529","6.018707","5.949446","5.941606","5.959792","5.836081","6.072477","5.85512","5.591042","5.937875","5.595055","5.752952","5.919642","5.963245","5.873902","5.883976","6.029979","6.086331","6.04075","5.675403","6.199538","5.578226","5.860836","5.76758","5.928826","5.886217","5.97144","5.875804","5.924618","5.365643","5.827236","5.87619","5.94539","5.924695","6.159031","6.202267","5.83585","6.133669","6.098766","5.709728","5.830976","5.812238","6.282631","5.854258","5.950871","5.895199","5.845491","5.842701","5.480828","5.778219","5.90365","5.7711","5.768718","6.06307","5.934006","5.799683","5.946003","6.027136","5.818923","6.040202","5.878021","5.694877","5.868201","6.156802","5.813116","5.536035","5.810542","5.997908","5.824578","5.74585","5.947211","5.793071","6.121745","6.120387","5.663016","6.095921","5.886293","5.723082","5.952226","5.733571","6.052033","5.888422","5.745661","5.907306","5.935816","5.901199","6.024352","6.035438","5.874858","5.853565","6.093348","5.925474","5.798302"
"C16.1.SM","5.962939","5.656832","6.047276","5.786758","5.95053","5.687601","5.432645","5.644673","5.46134","5.879463","5.769676","5.883976","5.804934","5.699914","6.055262","5.672218","6.081522","5.633308","6.017952","5.776546","6.047932","5.995847","5.772748","5.883976","5.884202","5.763018","5.744864","5.843361","5.945289","6.011192","5.590724","5.713017","5.890862","5.679175","5.866197","5.934409","5.828358","5.424016","5.924891","5.97496","5.746777","5.589805","5.892017","5.921629","5.920815","5.960708","5.832784","5.932481","5.651388","5.85839","5.992469","5.583696","5.971901","5.718108","5.92432","6.045096","6.019311","6.167412","5.868708","6.065791","5.945544","6.075099","5.828489","6.005717","5.843584","5.879502","5.725767","5.966325","6.020871","5.954646","6.09127","6.029368","5.767638","6.007659","5.824041","6.025773","5.858796","5.889486","5.95057","5.892284","5.772917","5.724285","5.947264","5.896109","5.916655","6.194322","6.00334","5.833242","5.756338","5.687204","5.908193","5.792725","5.939644","5.829879","5.412552","5.807365","5.778595","5.869439","5.787946","5.97816","6.000449","5.906114","6.037396","5.921201","6.008238","6.058882","5.990884","5.902192","5.766837","5.588067","5.966157","5.846726","5.852958","5.989003","6.024864","5.9406","5.902501","5.746558","5.883944","5.907608","5.866393","5.408349","5.919302","5.778866","5.923574","6.055895","5.573324","5.970726","5.830951","5.756885","5.942573","5.893776","5.983747","6.078695","6.006874","5.997925","6.038478","5.879424","5.840082","5.821704","5.667968","5.64827","5.952133","5.71354","5.910464","5.582411","5.699104","5.835115","5.901872","5.57365","5.698623","5.819119","6.013221","6.05509","5.721298","6.212263","5.648101","5.844722","5.649971","5.939072","5.799333","5.921602","5.948512","5.905674","5.348009","6.012478","5.75776","5.784705","5.853401","6.21201","5.882773","5.935055","5.9985","6.047066","5.81329","5.876511","5.825581","6.149535","5.678206","6.057911","5.826499","5.782506","5.904186","5.509335","5.83727","5.915903","5.976013","5.922215","6.141165","6.062275","5.780571","6.082944","6.167908","5.756415","6.010913","5.846318","5.883603","5.906712","6.208087","5.679652","5.61647","5.66477","5.703773","5.899156","5.95887","5.900195","5.858582","6.021091","6.127863","5.758643","6.145085","5.935784","5.786206","6.055181","5.866601","5.895425","5.967825","5.894322","5.876368","6.070896","6.189139","5.94817","6.01285","6.076059","5.961976","5.929111","6.070107","5.794055"
